job_id_x,depth,seed,k,obj_val_x,time_x,job_id_y,obj_val_y,time_y,nash
15159284,10.0,19.0,8.0,7.0,5.46,15041958,6.359621451104101,27.3,6.3596214511041005
15158819,9.0,6.0,8.0,7.0,4.95,15041495,6.653465346534654,6.3,6.653465346534654
15157206,5.0,14.0,14.0,6.499999999999997,5.43,15039817,6.445012787723785,6.04,6.445012787723785
15157163,5.0,1.0,13.0,6.230769230769231,5.82,15039774,6.017910447761194,5.49,6.017910447761194
15157264,6.0,11.0,1.0,9.0,3.5,15039876,9.0,3.7,6.3197492163009406
15158806,9.0,23.0,7.0,7.0,8.06,15041482,6.5968586387434565,8.6,6.596858638743456
15158614,9.0,11.0,1.0,9.0,3.59,15041289,9.0,9.02,6.3197492163009406
15158525,8.0,12.0,13.0,7.384615384615385,4.94,15041138,7.02439024390244,5.05,7.02439024390244
15157766,7.0,3.0,3.0,6.999999999999999,4.44,15040378,6.999999999999965,5.38,5.95275590551181
15157896,7.0,13.0,7.0,7.0,7.65,15040508,6.531317494600433,8.1,6.531317494600432
15157751,7.0,18.0,2.0,9.0,3.62,15040363,9.0,3.73,6.857142857142858
15159161,10.0,16.0,4.0,7.0,5.47,15041835,7.0,7.94,6.6607929515418505
15158445,8.0,22.0,10.0,6.0,10.77,15041058,5.694915254237289,24.33,5.694915254237288
15158143,7.0,20.0,15.0,6.933333333333334,7.8,15040755,6.596858638743455,9.16,6.596858638743455
15159113,10.0,28.0,2.0,8.0,3.44,15041787,8.0,3.75,6.054054054054054
15158043,7.0,10.0,12.0,6.666666666666666,4.96,15040655,6.3197492163009406,6.38,6.3197492163009406
15158704,9.0,11.0,4.0,7.0,5.65,15041379,6.999999441245501,9.64,6.3197492163009406
15157650,6.0,7.0,14.0,6.428571428571428,4.65,15040262,6.121457489878543,5.04,6.121457489878543
15157157,5.0,25.0,12.0,6.75,4.79,15039768,6.63157894736842,5.95,6.63157894736842
15158549,8.0,6.0,14.0,7.0,6.39,15041162,6.653465346534654,5.69,6.653465346534654
15157228,5.0,6.0,15.0,6.933333333333334,5.12,15039839,6.653465346534654,4.79,6.653465346534654
15156805,5.0,3.0,1.0,9.0,10.79,15039416,9.0,5.53,5.948497854077254
15158378,8.0,15.0,8.0,6.75,5.46,15040991,6.31974921630094,6.14,6.31974921630094
15158014,7.0,11.0,11.0,6.54545454545454,8.04,15040626,6.3197492163009406,5.96,6.3197492163009406
15159390,10.0,5.0,12.0,6.416666666666666,7.26,15042064,6.146341463414634,9.18,6.146341463414634
15157026,5.0,14.0,8.0,7.0,5.62,15039637,6.445012787723785,6.17,6.445012787723785
15157175,5.0,13.0,13.0,6.923076923076923,6.13,15039786,6.491803278688525,6.74,6.491803278688525
15158124,7.0,1.0,15.0,6.066666666666666,6.94,15040736,6.017910447761194,6.17,6.017910447761194
15157098,5.0,26.0,10.0,7.2,5.21,15039709,6.857142857142858,4.85,6.857142857142858
15159214,10.0,9.0,6.0,7.5,5.75,15041888,6.810810810810811,5.75,6.8108108108108105
15157532,6.0,9.0,10.0,7.2,4.14,15040144,6.810810810810811,4.83,6.810810810810811
15159226,10.0,21.0,6.0,7.5,5.84,15041900,6.653465346534654,7.1,6.653465346534654
15156926,5.0,4.0,5.0,6.4,4.55,15039537,6.0,7.02,5.974137931034482
15156825,5.0,23.0,1.0,9.0,4.98,15039436,9.0,11.5,6.596858638743456
15158334,8.0,1.0,7.0,6.428571428571428,7.88,15040947,6.017910447761189,8.79,6.017910447761189
