job_id,depth,seed,k,obj_val,time
15040989,8.0,13.0,8.0,6.531317494600432,14.19
15040496,7.0,1.0,7.0,6.017910447761193,6.24
15040561,7.0,6.0,9.0,6.653465346534654,6.1
15039885,6.0,20.0,1.0,9.0,3.54
15040373,7.0,28.0,2.0,8.0,3.81
15039581,5.0,18.0,6.0,6.857142857142858,5.5
15039918,6.0,23.0,2.0,8.0,3.96
15042037,10.0,8.0,11.0,6.72,24.31
15040838,8.0,12.0,3.0,9.0,4.07
15041373,9.0,5.0,4.0,6.999999307079658,6.78
15041311,9.0,3.0,2.0,7.0,9.19
15039832,5.0,29.0,14.0,6.16,6.56
15041748,10.0,19.0,1.0,8.0,3.67
15040227,6.0,2.0,13.0,7.322033898305085,9.78
15040662,7.0,17.0,12.0,6.222222222222223,11.88
15040906,8.0,20.0,5.0,6.999999554723858,8.27
15041374,9.0,6.0,4.0,7.0,5.87
15040156,6.0,21.0,10.0,6.653465346534654,4.94
15040453,7.0,18.0,5.0,6.857142857142858,5.12
15039673,5.0,20.0,9.0,6.596858638743456,5.22
15040283,6.0,28.0,14.0,6.054054054054054,7.21
15039784,5.0,11.0,13.0,6.3197492163009406,4.43
15041860,10.0,11.0,5.0,6.319748671778445,6.64
15040809,8.0,13.0,2.0,8.0,6.61
15039732,5.0,19.0,11.0,6.359621451104101,4.77
15040954,8.0,8.0,7.0,6.72,12.19
15041616,9.0,7.0,12.0,6.121457489878543,7.4
15042008,10.0,9.0,10.0,6.8108108108108105,8.23
15041288,9.0,10.0,1.0,9.0,9.07
15041539,9.0,20.0,9.0,6.596858608227352,8.7
15041146,8.0,20.0,13.0,6.596858638743456,14.45
15039787,5.0,14.0,13.0,6.445012787723785,6.04
15039879,6.0,14.0,1.0,9.0,3.98
15041790,10.0,1.0,3.0,7.0,5.45
15039434,5.0,21.0,1.0,9.0,11.24
15040347,7.0,2.0,2.0,9.0,3.74
15040961,8.0,15.0,7.0,6.31974921630094,5.97
15041631,9.0,22.0,12.0,5.694915254237289,44.26
15041741,10.0,12.0,1.0,9.0,3.71
15041187,8.0,1.0,15.0,6.017910447761189,8.84
15040270,6.0,15.0,14.0,6.31974921630094,4.92
15041612,9.0,3.0,12.0,5.952755905511811,23.84
15039458,5.0,15.0,2.0,8.0,11.55
15039980,6.0,25.0,4.0,8.0,3.94
15041471,9.0,12.0,7.0,7.024390243902439,5.85
15041995,10.0,26.0,9.0,6.857142857142858,11.82
15039498,5.0,25.0,3.0,8.0,3.8
15039562,5.0,29.0,5.0,7.0,6.98
15041501,9.0,12.0,8.0,7.024390243902439,4.92
15040253,6.0,28.0,13.0,6.054054054054054,5.25
15041116,8.0,20.0,12.0,6.596858638743456,10.28
15040370,7.0,25.0,2.0,8.0,4.0
15040408,7.0,3.0,4.0,6.0,5.17
15041628,9.0,19.0,12.0,6.3596214511041005,9.81
15039439,5.0,26.0,1.0,9.0,11.5
15041317,9.0,9.0,2.0,9.0,9.03
15040147,6.0,12.0,10.0,7.024390243902439,4.8
15039825,5.0,22.0,14.0,5.668711656441718,6.44
15042133,10.0,14.0,14.0,6.445012787723785,8.45
15039985,6.0,30.0,4.0,7.0,4.49
15040296,6.0,11.0,15.0,6.3197492163009406,4.47
15040180,6.0,15.0,11.0,6.31974921630094,6.1
15042148,10.0,29.0,14.0,6.222222222222222,30.38
15039460,5.0,17.0,2.0,8.0,11.32
15039978,6.0,23.0,4.0,7.0,5.05
15040037,6.0,22.0,6.0,5.9999993141870025,7.99
15041677,9.0,8.0,14.0,6.72,18.11
15041488,9.0,29.0,7.0,6.222222222222222,15.95
15040783,8.0,17.0,1.0,8.0,4.26
15039855,5.0,22.0,15.0,5.668711656441718,5.95
15041408,9.0,10.0,5.0,6.3197492163009406,10.83
15039481,5.0,8.0,3.0,8.0,11.91
15041603,9.0,24.0,11.0,6.719999999999999,7.61
15042156,10.0,7.0,15.0,6.1214574898785425,7.05
15039841,5.0,8.0,15.0,6.72,4.81
15041638,9.0,29.0,12.0,6.222222222222222,17.72
15040964,8.0,18.0,7.0,6.857142857142858,8.11
15040213,6.0,18.0,12.0,6.857142857142858,5.97
15041388,9.0,20.0,4.0,7.000000000000002,6.29
15040433,7.0,28.0,4.0,6.999999999999995,5.22
15039993,6.0,8.0,5.0,7.0,5.1
15039853,5.0,20.0,15.0,6.596858638743456,5.46
15041914,10.0,5.0,7.0,6.146341463414634,10.25
15041152,8.0,26.0,13.0,6.857142857142858,6.69
15040157,6.0,22.0,10.0,5.69491525423729,14.08
15041367,9.0,29.0,3.0,7.0,4.66
15042053,10.0,24.0,11.0,6.719999999999999,9.48
15040570,7.0,15.0,9.0,6.3197492163009406,6.06
15039648,5.0,25.0,8.0,6.63157894736842,4.47
15040446,7.0,11.0,5.0,6.3197492163009406,5.54
15039792,5.0,19.0,13.0,6.359621451104101,4.83
15041046,8.0,10.0,10.0,6.319749216300941,9.43
15039556,5.0,23.0,5.0,6.999999638650263,6.97
15040145,6.0,10.0,10.0,6.3197492163009406,4.72
15040027,6.0,12.0,6.0,7.024390243902439,4.58
15041391,9.0,23.0,4.0,7.0,6.81
15040122,6.0,17.0,9.0,6.222222222222222,7.25
15040032,6.0,17.0,6.0,6.222222222222223,6.78
15039681,5.0,28.0,9.0,6.054054054054054,4.51
15041583,9.0,4.0,11.0,5.976284584980237,9.75
15039622,5.0,29.0,7.0,6.222222222222223,7.4
