job_id,depth,seed,k,scenario,obj_val,time
15077295,6.0,20.0,1.0,5.0,7.999999999999998,4.01
15076776,8.0,11.0,4.0,0.0,3.9999846110618225,20152.02
15077588,7.0,12.0,1.0,5.0,8.99999445677867,13.13
15077364,6.0,29.0,3.0,5.0,4.0,23.55
15077369,6.0,4.0,4.0,5.0,4.0,177.95
15077264,5.0,19.0,10.0,5.0,3.84732824427481,6012.76
15077279,6.0,4.0,1.0,5.0,5.999998317234736,3.88
15076210,6.0,15.0,5.0,0.0,3.857142857142857,515.99
15077074,5.0,9.0,4.0,5.0,4.0,54.4
15076137,6.0,2.0,3.0,0.0,4.235291287288281,39.44
15077307,6.0,2.0,2.0,5.0,4.235293853529739,11.35
15077345,6.0,10.0,3.0,5.0,4.0,42.06
15076529,7.0,4.0,6.0,0.0,3.5618374558303887,15851.57
15076105,6.0,30.0,1.0,0.0,6.0,8.74
15076141,6.0,6.0,3.0,0.0,4.0,16.18
15077696,7.0,30.0,4.0,5.0,3.7333333333333334,25963.02
15076404,7.0,29.0,1.0,0.0,6.999999999999998,14.3
15077037,5.0,2.0,3.0,5.0,4.235294117647059,21.86
15076234,6.0,9.0,6.0,0.0,4.49998950664048,1958.99
15077269,5.0,24.0,10.0,5.0,4.4999897038152925,37294.94
15075894,5.0,29.0,4.0,0.0,4.0,15.68
15076729,8.0,24.0,2.0,0.0,3.9374999995062483,53.85
15075872,5.0,7.0,4.0,0.0,4.235294117647059,23.77
15076211,6.0,16.0,5.0,0.0,4.235286318355192,189.09
15077405,6.0,10.0,5.0,5.0,3.999992876345947,32586.02
15077016,5.0,11.0,2.0,5.0,4.0,5.76
15076017,5.0,2.0,9.0,0.0,4.235294117647059,327.12
15077014,5.0,9.0,2.0,5.0,4.500000000000001,7.98
15075943,5.0,18.0,6.0,0.0,4.499994537796507,129.43
15076369,6.0,24.0,10.0,0.0,4.235286157489969,26087.16
15076996,5.0,21.0,1.0,5.0,9.0,10.31
15076459,7.0,24.0,3.0,0.0,3.230769229822397,111.82
15077180,5.0,25.0,7.0,5.0,3.9999601451859412,31951.72
15077904,8.0,28.0,1.0,5.0,5.999999999999998,7.55
